line,station,images,expected,station_status
13297,4420,3,3/3,OK
13297,4468,3,3/3,OK
13297,4516,3,3/3,OK
13297,4564,3,3/3,OK
13297,4612,3,3/3,OK
13297,4660,3,3/3,OK
13297,4708,3,3/3,OK
13297,4756,3,3/3,OK
13297,4804,3,3/3,OK
13297,4852,3,3/3,OK
13297,4900,3,3/3,OK
13297,4948,3,3/3,OK
13297,4996,3,3/3,OK
13297,5044,3,3/3,OK
13297,5092,3,3/3,OK
13297,5140,3,3/3,OK
13297,5188,3,3/3,OK
13297,5236,3,3/3,OK
13297,5284,3,3/3,OK
13297,5332,3,3/3,OK
13297,5380,3,3/3,OK
13297,5428,3,3/3,OK
13297,5476,3,3/3,OK
13297,5524,3,3/3,OK
13297,5572,3,3/3,OK
13297,5620,3,3/3,OK
13297,5668,3,3/3,OK
13297,5716,3,3/3,OK
